teks,akurasi,kualitas,pelayanan,pengemasan,harga,pengiriman,s_akurasi,s_kualitas,s_pelayanan,s_pengemasan,s_harga,s_pengiriman
"Senternya kecil, tapi terangnya luar biasa, ukuran kecil pas buat dibawa kemanapun",0,1,0,0,0,0,-,positif,-,-,-,-
Sempat konfirmasi ke penjual tapi tidak memberikan jawaban yang memuaskan dan ditanya lagi tidak merespon.,0,0,1,0,0,0,-,-,negatif,-,-,-
mantap Namun akan lebih baik apabila baterainya disertakan,1,0,0,0,0,0,negatif,-,-,-,-,-
"Kualitas jelek, wajar aja harga murah,",0,1,0,0,1,0,-,negatif,-,-,positif,-
"Pelayanan buruk klo kata tidak aktif bertanya barang tdk dikirim2 itupun salah kirim jadi telat kirim barang ,packing minimalis kardus antena doang jadi nyampe barang ada penyoknya...:(",1,0,1,1,0,1,negatif,-,negatif,negatif,-,negatif
Suka barangnya bagus dan pas di pakai,0,1,0,0,0,0,-,positif,-,-,-,-
"barang rusak 1, cuma pack plastik tanpa dus/bubblewarp",0,1,0,1,0,0,-,negatif,-,negatif,-,-
"Lumayan, memang agak sukit setting fokusnya tapi untuk pembesaran 70x ya memang agak susah, goyang2",0,1,0,0,0,0,-,positif,-,-,-,-
"barang sesuai deskripsi ,rapih , menarik.",1,0,0,1,0,0,positif,-,-,positif,-,-
"Sebaiknya harga disesuaikan dengan kualitas barangnya, jgn mahal2 gan",0,1,0,0,1,0,-,negatif,-,-,negatif,-
"barang muLus, packing safety...",0,1,0,1,0,0,-,positif,-,positif,-,-
"Barang sdh sampai, sesuai pesanan... terima ksh",1,0,0,0,0,0,positif,-,-,-,-,-
simpel ...berkualitas dan sangat berguna,0,1,0,0,0,0,-,positif,-,-,-,-
"mousenya kadang mati kadang idup. Ntah kenapa, kayaknya tombolnya aga longgar",0,1,0,0,0,0,-,negatif,-,-,-,-
"Barang sesuai pesanan ,thx best seller",1,0,0,0,0,0,positif,-,-,-,-,-
"""Kok bisa ya earphone 10rb an sebagus ini?"" Ujar saya ketika pertama kali coba ini.. sy beli merk lain 60rb tp not even close to this.. terima kasih seller, sangat recommended barangnya!!",0,1,0,0,1,0,-,positif,-,-,positif,-
Bagus anti gores di kasih yg 5D fast respon packing tebal dan rapih rekomen beli di sini,0,1,1,1,0,0,-,positif,positif,positif,-,-
Mlm order dah nyampe..pagi...Good job....jangan ragu belanja di lapak ini..!!barang dan kualitas juga very good.. ????????,0,1,0,0,0,1,-,positif,-,-,-,positif
Krennnn dahhh proseesss cpeettt,0,0,1,0,0,0,-,-,positif,-,-,-
"Suara kurang bening, bass nya kurang empuk",0,1,0,0,0,0,-,negatif,-,-,-,-
barang sampai tujuan. sesuai pesanan,1,0,0,0,0,0,positif,-,-,-,-,-
"sLow respon gan, udh itu aja....",0,0,1,0,0,0,-,-,negatif,-,-,-
"Suaranya untuk telp sangat jelas, sangat ringan JD TDK membuat telinga sakit",0,1,0,0,0,0,-,positif,-,-,-,-
"kecil2 wangi... harga sesuai, kualitas ok, fungsi sangat berfungsi sbg pengharum mbl dan ruangan, produk bagus. packing penuh dengan kasih sayang. tq",0,1,0,1,1,0,-,positif,-,positif,positif,-
"RINGKAS.., kabel penghubung tertata dengan rapi NYAMAN..., dari desain memudahkan kontrol cahaya dengan cara memutar MUDAH...?!? Sebenarnya mudah dalam pengoprasiannya namun TIDAK ADANYA MANUAL BOOK saya pribadi kesusahan dalam segi perawatan & penggunaan yg baik catatan pelapak: FAST RESPONE, RAMAH, catatan jasa pengiriman ( POST INDONESIA ) sangat memuaskan PROFESSIONAL CEPAT SAMPAI ( wilayah jawa timur ) AKURAT KOMUNIKATIF.",0,1,1,0,0,1,-,positif,positif,-,-,positif
Kerennnnnnnnnnnnnnnnnnnnnnnnnn Kerennnnnnnnnnnnnnnnnnnnnnnnnn,0,1,0,0,0,0,-,positif,-,-,-,-
Terimakasih buat pelayanannya yang baik & semoga barangnya membawa banyak manfaat dan keberkahan.,0,0,1,0,0,0,-,-,positif,-,-,-
Packing seadanya. Walhasil senter kaga nyala. Gimana nih. Saya minta duit kembali. Jangan mau beli. Barang rusak ga bisa di kembaliin. Pedagang aneh. Nyesel anda beli lampu senter disini.,0,1,0,1,0,0,-,negatif,-,negatif,-,-
"Earphone rusak sebelah, packing kurang bagus",0,1,0,1,0,0,-,negatif,-,negatif,-,-
Barang nya bagus....respon penjualny cepat....terima kasih,0,1,1,0,0,0,-,positif,positif,-,-,-
"multifungsi, sesuai harga lah Namun akan lebih baik apabila desain lebih simpel dan bahannya kuat",0,1,0,0,1,0,-,positif,-,-,positif,-
barang bagus buat harga segitu mantap pokoknya,0,1,0,0,1,0,-,positif,-,-,positif,-
"Packing gak baik, barang rusak pas di selang keluar ada bocor",0,1,0,1,0,0,-,negatif,-,negatif,-,-
"barang yang sudah diterima, tp sy memang kurang teliti waktu membeli, dikira 2A ternyata barang yang sy beli 1A. kurang teliti.....ok",1,0,0,0,0,0,negatif,-,-,-,-,-
"Barang sesuai pesanan, packing bagus dan ceoat sampai....recomended seller lah pokoknya....",1,0,0,1,0,1,positif,-,-,positif,-,positif
mantap n respon sangat bisa dipertanggung jawabkan,0,0,1,0,0,0,-,-,positif,-,-,-
Saya pesen griplock yang dikasih caps lock walaupun warna sama tapi berbeda dgn apa yg di judul dan di foto,1,1,0,0,0,0,negatif,negatif,-,-,-,-
"RESPON CEPAT, CEPAT SAMPAI DAN BERFUNGSI,, BLM SY COBA BNR APA GK QUICK CHARGE,,",0,1,1,0,0,0,-,positif,positif,-,-,-
Cepat sampai sesuai pesanana anak suka,1,0,0,0,0,1,positif,-,-,-,-,positif
"Fast respon, barang bagus, cepat sampai dan sesuai dengan keinginan.",1,1,1,0,0,1,positif,positif,positif,-,-,positif
Barang rusak gak nyala..klw mau jualan yg jujur gan,0,1,0,0,0,0,-,negatif,-,-,-,-
Barang bagus dan sesuai pesanan,1,1,0,0,0,0,positif,positif,-,-,-,-
"kualitas Baik, Harga sesuai dan awet",0,1,0,0,1,0,-,positif,-,-,positif,-
Sesuai pict Lembut juga bahanya adem,1,1,0,0,0,0,positif,positif,-,-,-,-
"Bahannya bagus, sesuai pesanan. recommended seller.",1,1,0,0,0,0,positif,positif,-,-,-,-
Barang murah ...packing rapi pgirman cepat,0,0,0,1,1,1,-,-,-,positif,positif,positif
"Tengkiu gan, respon chat cepat, good seller",0,0,1,0,0,0,-,-,positif,-,-,-
"Mantao gan, sesuai deskripsi harga murah",1,1,0,0,1,0,positif,positif,-,-,positif,-
Sesuai pesanan ok,1,0,0,0,0,0,positif,-,-,-,-,-
"barang sudah sampai tapi setelah dicoba ternyata barang rusak / tidak bisa dipakai. udah komplain via chat tapi tidak ditanggapi, low respon. tolong dong lain kali kalau mau ngirim barang dicek dulu!!! makasih.",0,1,1,0,0,0,-,negatif,negatif,-,-,-
"Barang cepat sampai, respon chat cepat, barang bagus sekali. Dan intinya memuaskan",0,1,1,0,0,1,-,positif,positif,-,-,positif
Walaupun lelet tapi recomended banget,0,1,0,0,0,0,-,positif,-,-,-,-
"barang salah kirim, order ac holder besi hp+gps pada mobil (transaksi#151001158605), yang datang minifan air conditioning",1,0,0,0,0,0,negatif,-,-,-,-,-
respon cepat,0,0,1,0,0,0,-,-,positif,-,-,-
Akhirnya dapet juga barang ini.. rare item dan barang wajib buat moto z,0,1,0,0,0,0,-,positif,-,-,-,-
Barang sesuai dengan expektasi...,1,0,0,0,0,0,positif,-,-,-,-,-
Respon cepat. Dan tidak pakai lama langsung dikirim hari itu juga.,0,0,1,0,0,1,-,-,positif,-,-,positif
Barang sesuai dengan yang ditawarkan. Tinggal mencobanya,1,0,0,0,0,0,positif,-,-,-,-,-
Barang rusak sampainya packing tidak rapih... Kecewa sama tokonya dan kecewa sama bukalapak,0,1,0,1,0,0,-,negatif,-,negatif,-,-
Barang belum saya test..mudah2an bagus sesuai harapan.. Klo terbukti bagus secara original saya rubah lebih bagus lagi ulasan nya Thanks..semoga tambah maju usahanya,0,1,0,0,0,0,-,positif,-,-,-,-
Barang sampai dengan cepat dan sesuai pesanan,1,0,0,0,0,1,positif,-,-,-,-,positif
Bisa terdeteksi ketika memindahkan file. tapi tidak ada indikator (lampu) bahwa cardreader terpasang ke komputer. overall bagus. semoga awet,0,1,0,0,0,0,-,negatif,-,-,-,-
"barang tidak sesuai, yg diminta Asus A455LD, barang yang dikirim Asus ADP- 65JHBB",1,0,0,0,0,0,negatif,-,-,-,-,-
"Sesuai pesanan, sayangnya ukuran L tidak cukup di badan saya, sepertinya model slim...",1,0,0,0,0,0,positif,-,-,-,-,-
Barangnya kosong dibilang ready.... Gak profesional ni yg jualan. Lain kali klo kosong komfirmasi ke pembeli. Supaya bisa diganti barang lain. Barang rusak ongkirnya mahal. Kecewa,0,1,0,0,1,1,-,negatif,-,-,negatif,negatif
Lama banget sy kirim uang dari hari jumat.sampai sy musti ngambil barang ke paster gateway.dari dulu sy emang benci jne suka seenak jidatnya.saran saya hspun jne dari buka lapak,0,0,0,0,0,1,-,-,-,-,-,negatif
Terbaiiiiikkkkk.... Jazakallah,0,1,0,0,0,0,-,positif,-,-,-,-
"Respon chat cepat. Pengiriman ke kurir juga cepat, sesuai permintaan utk kirim pada hari yang sama. Alangkah lebih baik jika kurir Pos Indonesia juga dibuka.",1,0,1,0,0,1,positif,-,positif,-,-,positif
"barang sesuai gambar,tapi packing kurang baik harunya di kasih bubblewarp agar aman",1,0,0,1,0,0,positif,-,-,negatif,-,-
Barang bagus. Sip deh. Mantap. Rekomended. Namun disayangkan chat slow respon. Barang lambat datang... tapi alhamdulillah sampai.,0,1,1,0,0,1,-,positif,negatif,-,-,negatif
"Barang sesuai harga, selebihnya good, fast respon... Semoga tambah maju lagi usahanya...!!",0,1,0,0,1,0,-,positif,-,-,positif,-
mengecewakan barang rusak ada yg patah,0,1,0,0,0,0,-,negatif,-,-,-,-
So far. Barang bisa berfungsi dengan baik. Kecewa proses pengirimannya aja yg gk sesuai.,0,1,0,0,0,1,-,positif,-,-,-,negatif
Barang bagus bener sesuai dengan moto g5s...sampe susah lepas case nya...sangat kenceng di hpnya,0,1,0,0,0,0,-,positif,-,-,-,-
"Bagus, presisi, recommended seller",1,1,0,0,0,0,positif,positif,-,-,-,-
Barang bagussssssssssss awetttttttttttt,0,1,0,0,0,0,-,positif,-,-,-,-
