slang;baku
yg;yang
packing;pengemasan
seller;penjual
ga;tidak
gak;tidak
tp;tapi
dgn;dengan
recomended;direkomendasikan
udah;sudah
gk;tidak
tdk;tidak
sdh;sudah
bgt;banget
jg;juga
dah;sudah
order;pesanan
terimakasih;terima kasih
slow;lambat
original;asli
sy;saya
ori;asli
brg;barang
dg;dengan
thx;terima kasih
utk;untuk
jd;jadi
kalo;kalau
cuman;cuma
overall;keseluruhan
ny;nya
lg;lagi
klo;kalau
tpi;tapi
nyampe;sampai
dapet;dapat
dr;dari
ongkir;ongkos kirim
karna;karena
udh;sudah
cpt;cepat
pesen;pesan
paking;pengemasan
retur;dikembalikan
dpt;dapat
dipake;dipakai
blm;belum
no;tidak
trims;terima kasih
tks;terima kasih
packingnya;pengemasannya
nyesel;menyesal
bener;benar
kwalitas;kualitas
krn;karena
tgl;tanggal
full;penuh
nggak;tidak
bs;bisa
tq;terima kasih
pokonya;pokoknya
rekomended;direkomendasikan
thank;terima kasih
ngga;tidak
yah;ya
bgus;bagus
rb;ribu
recomend;direkomendasikan
recommend;direkomendasikan
brang;barang
diskripsi;deskripsi
trus;terus
sya;saya
moga;semoga
test;tes
joss;jos
response;respon
jgn;jangan
sm;sama
tebel;tebal
bgs;bagus
kl;kalau
sellernya;penjualnya
smoga;semoga
mantapp;mantap
simple;sederhana
mantep;mantap
packaging;pengemasan
dlm;dalam
gimana;bagaimana
pesenan;pesanan
trimakasih;terima kasih
mantul;mantap betul
safety;aman
ane;saya
gpp;tidak apa apa
all;semua
lbh;lebih
brng;barang
baguss;bagus
not;tidak
smpai;sampai
jga;juga
bngt;banget
quality;kualitas
nice;mantap
mksh;terima kasih
respons;respon
gw;saya
smpe;sampai
cpet;cepat
gitu;begitu
dtg;datang
yaa;ya
emang;memang
dh;sudah
aj;saja
bnget;banget
next;berikutnya
kepake;terpakai
spt;seperti
best;terbaik
msh;masih
bsa;bisa
sipp;sip
respond;respon
flashdeal;flash deal
ngak;tidak
return;dikembalikan
trima;terima
sesui;sesuai
ttp;tetap
kaga;tidak
liat;lihat
hrga;harga
hrg;harga
abis;habis
bagusss;bagus
makasi;terima kasih
beneran;benaran
tetep;tetap
ama;sama
ksh;kasih
pd;pada
ongkirnya;ongkos kirimnya
dll;dan lain lain
orderan;pesanan
josss;jos
pass;pas
seauai;sesuai
ngisi;mengisi
lgsg;langsung
aga;agak
dng;dengan
hr;hari
pdhl;padahal
mantappp;mantap
smua;semua
mantaps;mantap
pke;pakai
pict;gambar
enggak;tidak
blum;belum
blom;belum
br;baru
belom;belum
diretur;dikembalikan
gede;besar
rp;rupiah
gua;gue
time;waktu
request;permintaan
seneng;senang
buyer;pembeli
dri;dari
ngk;tidak
lahh;lah
rekomen;direkomendasikan
merek;merk
sempet;sempat
lgi;lagi
pngiriman;pengiriman
sma;sama
kenceng;kencang
gx;tidak
packingan;pengemasan
gag;tidak
sblm;sebelum
jdi;jadi
cmn;cuma
gabisa;tidak bisa
bnyak;banyak
smg;semoga
nyampenya;sampainya
dlu;dulu
malem;malam
smp;sampai
respont;respon
peking;pengemasan
price;harga
trs;terus
brgnya;barangnya
tsb;tersebut
pack;kemasan
wrna;warna
review;ulasan
skrg;sekarang
psanan;pesanan
sgt;sangat
klu;kalau
sampenya;sampainya
engga;tidak
make;pakai
slalu;selalu
ky;kayak
sesuia;sesuai
gmn;bagaimana
ssuai;sesuai
walopun;walaupun
bahanya;bahannya
cma;cuma
uda;sudah
komen;komentar
bru;baru
dikasi;dikasih
pic;gambar
tanks;terima kasih
nyampek;sampai
mantapppp;mantap
gada;tidak ada
kalu;kalau
klw;kalau
dngan;dengan
ndak;tidak
masi;masih
blanja;belanja
lelet;lambat
bangettt;banget
dengn;dengan
pdhal;padahal
mantabs;mantap
okee;oke
murmer;murah meriah
barangny;barangnya
aq;aku
mantaaap;mantap
jngan;jangan
hrs;harus
same;sama
bales;balas
sampek;sampai
thnx;terima kasih
ati;hati
fto;foto
broo;bro
lngsung;langsung
nggk;tidak
tuker;tukar
dehh;deh
thanx;terima kasih
bkn;bukan
trnyata;ternyata
mantaaaap;mantap
mngkin;mungkin
gbr;gambar
nga;tidak
sprti;seperti
yaaa;ya
ajaa;aja
smga;semoga
laah;lah
dech;deh
mmg;memang
mksih;terima kasih
btw;ngomong ngomong
barng;barang
kereen;keren
dibales;dibalas
lamaaaa;lama
package;pengemasan
okeh;oke
kasi;kasih
wrn;warna
respone;respon
ud;sudah
dngn;dengan
bbrp;beberapa
drpd;daripada
reapon;respon
lh;lah
ato;atau
bingit;banget
knp;kenapa
skali;sekali
trm;terima
krg;kurang
trmksih;terima kasih
murahh;murah
thks;terima kasih
sj;saja
rapet;rapat
overal;keseluruhan
gtu;begitu
komplen;komplain
doank;doang
mnta;minta
tapii;tapi
psnan;pesanan
lmyan;lumayan
pakingnya;pengemasannya
gmbar;gambar
emng;memang
cancel;batal
kyk;kayak
dsni;di sini
bls;balas
terim;terima
kk;kakak
cman;cuma
pkonya;pokoknya
sgitu;segitu
pakenya;pakainya
spertinya;sepertinya
kalopun;kalaupun
krna;karena
packingannya;pengemasannya
stlh;setelah
kerenn;keren
sampi;sampai
abisss;habis
dsini;di sini
packagingnya;pengemasannya
rekomend;direkomendasikan
bwt;buat
kmn;kemana
kmahalan;kemahalan
kayanya;kayaknya
trimksih;terima kasih
temen;teman
awett;awet
recomendded;direkomendasikan
mkasih;terima kasih
lngsng;langsung
tdak;tidak
gbs;tidak bisa
bagussss;bagus
kerennn;keren
topp;top
pesannan;pesanan
dipacking;dikemas
picture;gambar
wkt;waktu
sampaii;sampai
mhon;mohon
fastrespon;respon cepat
recomd;direkomendasikan
respin;respon
mmuaskan;memuaskan
