teks,akurasi,kualitas,pelayanan,pengemasan,harga,pengiriman,s_akurasi,s_kualitas,s_pelayanan,s_pengemasan,s_harga,s_pengiriman
"Barang sesuai ekspektasi, mudah2an awet",1,0,0,0,0,0,positif,-,-,-,-,-
"Muantabssss, jahitan rapih, bahan Adem. Recommended seller.",0,1,0,0,0,0,-,positif,-,-,-,-
Menang di model aja simpel. Suaranya pelan cenderung mendem,0,1,0,0,0,0,-,negatif,-,-,-,-
Brg oke..mntaaplah,0,1,0,0,0,0,-,positif,-,-,-,-
paket bagus Namun akan lebih baik apabila decker juga di masukin dlm paket,1,0,0,1,0,0,negatif,-,-,positif,-,-
"Respon lapak cepat dan ramah, batre lebih kecil dari aslinya jadi ada sela muat dimasukin isi bolpoint. pelapak bersedia mengganti barang/uang tp karena saya tdk cukup waktu untuk mengurus akhirnya saya pasang aja apa adanya. mudah2an awet.",1,1,1,0,0,0,negatif,negatif,positif,-,-,-
Lampunya terang seperti masa depan saya,0,1,0,0,0,0,-,positif,-,-,-,-
tidak sesuai gambar Namun akan lebih baik apabila sesuai pesanan,1,0,0,0,0,0,negatif,-,-,-,-,-
"barang sesuai expetasi, packing aman, pengiriman oke, respon penjual oke.",1,0,1,1,0,1,positif,-,positif,positif,-,positif
"Barang sudah sampai. Makasih gan, cepet banget responnya",0,0,1,0,0,0,-,-,positif,-,-,-
"tapi kayak mainan,haha..mudah-mudahan aman.. thanks gan moga makin sukses ya",0,1,0,0,0,0,-,negatif,-,-,-,-
Barang sesuai pesanan dan sesuai deskripsi,1,0,0,0,0,0,positif,-,-,-,-,-
sesuai .. Namun akan lebih baik apabila jahitan benang sesuai warna,1,0,0,0,0,0,negatif,-,-,-,-,-
kualitas bagus. berfungsi dengan baik. admin toko ramah & fast response. packaging bagus. recommended.,0,1,1,1,0,0,-,positif,positif,positif,-,-
"harga dan fungsi bagus, tapi kualitas barangnya jelek",0,1,0,0,1,0,-,negatif,-,-,positif,-
barang sesuai pesanan terimakasih,1,0,0,0,0,0,positif,-,-,-,-,-
"Barang tidak sesuai dg gambar & tipe smartphone, tidak ada lubang u/ fingerprint",1,0,0,0,0,0,negatif,-,-,-,-,-
"Sangat bermanfaat, ekonomis dan tidak makan banyak tempat, mudah dibawa kalau lupa bawa baju koko ada rosal yang bisa menutup aurat jika sedang shalat, sukses terus, barakallahu fiikum",0,1,0,0,0,0,-,positif,-,-,-,-
"Barang mantap, sesuai dengan pesanan dan oke banget dah",1,1,0,0,0,0,positif,positif,-,-,-,-
"Barang bagus. Sesuai dengan hp. , seperti ngk pakai case. Sangat tipis namun kuat dan elegan. Tidak meninggalkan bekas sidik jari saat di genggaman. Tetapi akan lebih baik kalau harganya bisa sedikit lebih murah. Saya pasti beli lagi. Karena barangnya bagus.",1,1,0,0,1,0,positif,positif,-,-,negatif,-
Lama smp ny..warna tdk sesuai peasanan,1,0,0,0,0,1,negatif,-,-,-,-,negatif
Walau pengiriman agak lama. Slow respon gak direspon si malah. Tapi barang oke lah sesuai harga,0,1,1,0,1,1,-,positif,negatif,-,positif,negatif
cepat dan packing ok.. thx eugenia fortunate,0,0,0,1,0,1,-,-,-,positif,-,positif
kualitas keren fungsi bagus harga terjangkauproduk waw,0,1,0,0,1,0,-,positif,-,-,positif,-
bagus barangnya. cepat sampai.....,0,1,0,0,0,1,-,positif,-,-,-,positif
"Barang dh sampe.. pesan jm 11 siang nyampe jam 1 siang.. sesuai pesanan, packing rapih recomended seller.. thank ka",1,0,0,1,0,1,positif,-,-,positif,-,positif
"Barang sesuai dengan pesanan, semula hanya mau coba2 aja pesen jaketnya, eh eh tahu barangnya sangat bagus dibanding dg harganya yg murah meriah.",1,1,0,0,1,0,positif,positif,-,-,positif,-
"Terimakasih, barang berfungsi dengan baik, respon chat baik.. thx",0,1,1,0,0,0,-,positif,positif,-,-,-
"Barang sesuai dengan pesanan, murah dan kualitas bagus",1,1,0,0,1,0,positif,positif,-,-,positif,-
"Packing Penyok kabeh bos, ampun!!!",0,0,0,1,0,0,-,-,-,negatif,-,-
Sudah rusak pas mic nya ????,0,1,0,0,0,0,-,negatif,-,-,-,-
Barang yang dikirim barang kw tidak sesuai dengan yg ditawarkan.. Seller Penipu tidak mau dikomplain,1,1,1,0,0,0,negatif,negatif,negatif,-,-,-
